number of jobs,number of molds,class,instance number,execution time
150,15,5,827,0
150,15,5,828,0
150,15,5,829,0
150,15,5,830,0
150,15,6,831,0.001
150,15,6,832,0
150,15,6,833,0
150,15,6,834,0
150,15,6,835,0
150,15,6,836,0
150,15,6,837,0.000995
150,15,6,838,0.000997
150,15,6,839,0.001001
150,15,6,840,0.001002
150,20,1,841,0
150,20,1,842,0.001
150,20,1,843,0
150,20,1,844,0
150,20,1,845,0.000996
150,20,1,846,0.001005
150,20,1,847,0.000997
150,20,1,848,0
150,20,1,849,0
150,20,1,850,0.000999
150,20,2,851,0
150,20,2,852,0.000997
150,20,2,853,0
150,20,2,854,0.001001
150,20,2,855,0
150,20,2,856,0
150,20,2,857,0
150,20,2,858,0.001005
150,20,2,859,0.000999
150,20,2,860,0
150,20,3,861,0.001011
150,20,3,862,0
150,20,3,863,0.002016
150,20,3,864,0
150,20,3,865,0
150,20,3,866,0.001003
150,20,3,867,0.000999
150,20,3,868,0.001
150,20,3,869,0
150,20,3,870,0.000998
150,20,4,871,0.000998
150,20,4,872,0
150,20,4,873,0.001001
150,20,4,874,0
150,20,4,875,0
150,20,4,876,0
150,20,4,877,0
150,20,4,878,0
150,20,4,879,0
150,20,4,880,0.000998
150,20,5,881,0.000996
150,20,5,882,0.001
150,20,5,883,0
150,20,5,884,0.001
150,20,5,885,0
150,20,5,886,0.001
150,20,5,887,0
150,20,5,888,0
150,20,5,889,0.001
150,20,5,890,0.000994
150,20,6,891,0.001006
150,20,6,892,0
150,20,6,893,0
150,20,6,894,0
150,20,6,895,0
150,20,6,896,0.001015
150,20,6,897,0.000997
150,20,6,898,0.001003
150,20,6,899,0
150,20,6,900,0
200,2,1,901,0.002
200,2,1,902,0.001004
200,2,1,903,0.001
200,2,1,904,0.001997
200,2,1,905,0.000992
200,2,1,906,0.001999
200,2,1,907,0.000998
200,2,1,908,0.001007
200,2,1,909,0.001994
200,2,1,910,0.002995
200,2,2,911,0.001007
200,2,2,912,0.001999
200,2,2,913,0.001094
200,2,2,914,0.001017
200,2,2,915,0.001
200,2,2,916,0.001008
200,2,2,917,0.001998
200,2,2,918,0.002017
200,2,2,919,0.001996
200,2,2,920,0.002013
200,2,3,921,0.001003
200,2,3,922,0.001999
200,2,3,923,0.000993
200,2,3,924,0.000998
200,2,3,925,0.000999
200,2,3,926,0.001994
200,2,3,927,0.001004
200,2,3,928,0.001995
200,2,3,929,0.000999
200,2,3,930,0.001001
200,2,4,931,0.001001
200,2,4,932,0.001001
200,2,4,933,0.001005
200,2,4,934,0.001011
200,2,4,935,0.002996
200,2,4,936,0.001994
200,2,4,937,0.000998
200,2,4,938,0.000999
200,2,4,939,0.001
200,2,4,940,0.000999
200,2,5,941,0.001002
200,2,5,942,0.002994
200,2,5,943,0.002994
200,2,5,944,0.001998
200,2,5,945,0.001001
200,2,5,946,0.001994
200,2,5,947,0.001996
200,2,5,948,0.000998
200,2,5,949,0.001003
200,2,5,950,0.001995
200,2,6,951,0.002995
200,2,6,952,0.001003
200,2,6,953,0.001
200,2,6,954,0.000999
200,2,6,955,0.001999
200,2,6,956,0.001
200,2,6,957,0.001996
200,2,6,958,0.001993
200,2,6,959,0.001996
200,2,6,960,0.001003
200,5,1,961,0.001004
200,5,1,962,0.000998
200,5,1,963,0.001006
200,5,1,964,0.000999
200,5,1,965,0
200,5,1,966,0.001
200,5,1,967,0.001
200,5,1,968,0.001007
200,5,1,969,0
200,5,1,970,0.001013
200,5,2,971,0
200,5,2,972,0
200,5,2,973,0
200,5,2,974,0
200,5,2,975,0.001004
200,5,2,976,0.000997
200,5,2,977,0
200,5,2,978,0
200,5,2,979,0
200,5,2,980,0.001006
200,5,3,981,0.001001
200,5,3,982,0.001001
200,5,3,983,0.000988
200,5,3,984,0.000999
200,5,3,985,0.001
200,5,3,986,0.000997
200,5,3,987,0
200,5,3,988,0.001008
200,5,3,989,0.001028
200,5,3,990,0.001002
200,5,4,991,0
200,5,4,992,0.001
200,5,4,993,0
200,5,4,994,0
200,5,4,995,0.000995
200,5,4,996,0.001
200,5,4,997,0.000998
200,5,4,998,0.000997
200,5,4,999,0.001002
200,5,4,1000,0.000999
200,5,5,1001,0
200,5,5,1002,0.001007
200,5,5,1003,0.000997
200,5,5,1004,0
200,5,5,1005,0
200,5,5,1006,0.000999
200,5,5,1007,0.000995
200,5,5,1008,0
200,5,5,1009,0.000998
200,5,5,1010,0.001004
200,5,6,1011,0
200,5,6,1012,0.001
200,5,6,1013,0.001001
200,5,6,1014,0.000998
200,5,6,1015,0
200,5,6,1016,0.001
200,5,6,1017,0.001001
200,5,6,1018,0
200,5,6,1019,0.000999
200,5,6,1020,0.000996
200,10,1,1021,0.001002
200,10,1,1022,0.001
200,10,1,1023,0.001003
200,10,1,1024,0.001004
200,10,1,1025,0.001005
200,10,1,1026,0.001001
200,10,1,1027,0.001003
200,10,1,1028,0
200,10,1,1029,0
200,10,1,1030,0.001
200,10,2,1031,0
200,10,2,1032,0.000998
200,10,2,1033,0
200,10,2,1034,0.001
200,10,2,1035,0
200,10,2,1036,0.001001
200,10,2,1037,0
200,10,2,1038,0.001001
200,10,2,1039,0.001007
200,10,2,1040,0.001002
200,10,3,1041,0.002005
200,10,3,1042,0
200,10,3,1043,0.000998
200,10,3,1044,0.001
200,10,3,1045,0.001001
200,10,3,1046,0
200,10,3,1047,0.001
200,10,3,1048,0.001
200,10,3,1049,0
200,10,3,1050,0
200,10,4,1051,0.000555
200,10,4,1052,0
200,10,4,1053,0.002008
200,10,4,1054,0
200,10,4,1055,0
200,10,4,1056,0
200,10,4,1057,0
200,10,4,1058,0.001005
200,10,4,1059,0.001002
200,10,4,1060,0
200,10,5,1061,0.001005
200,10,5,1062,0.000998
200,10,5,1063,0
200,10,5,1064,0.000998
200,10,5,1065,0.001003
200,10,5,1066,0.000999
200,10,5,1067,0.002007
200,10,5,1068,0.000998
200,10,5,1069,0
200,10,5,1070,0.001003
200,10,6,1071,0.000989
200,10,6,1072,0
200,10,6,1073,0.000997
200,10,6,1074,0.000999
200,10,6,1075,0.001003
200,10,6,1076,0
200,10,6,1077,0.001003
200,10,6,1078,0
200,10,6,1079,0
200,10,6,1080,0.001
200,15,1,1081,0
200,15,1,1082,0.001
200,15,1,1083,0.000998
200,15,1,1084,0.000998
200,15,1,1085,0
200,15,1,1086,0.000994
200,15,1,1087,0
200,15,1,1088,0
200,15,1,1089,0
200,15,1,1090,0
200,15,2,1091,0.002022
200,15,2,1092,0.000999
200,15,2,1093,0.000997
200,15,2,1094,0
200,15,2,1095,0.002016
200,15,2,1096,0.001004
200,15,2,1097,0.001
200,15,2,1098,0
200,15,2,1099,0.001004
200,15,2,1100,0
200,15,3,1101,0
200,15,3,1102,0
200,15,3,1103,0.001
200,15,3,1104,0.000995
200,15,3,1105,0.001002
200,15,3,1106,0.001001
200,15,3,1107,0.001006
200,15,3,1108,0
200,15,3,1109,0.001001
200,15,3,1110,0.001001
200,15,4,1111,0
200,15,4,1112,0.001
200,15,4,1113,0.001009
200,15,4,1114,0
200,15,4,1115,0.000998
200,15,4,1116,0
200,15,4,1117,0.001
200,15,4,1118,0
200,15,4,1119,0.001004
200,15,4,1120,0.000995
200,15,5,1121,0.001
200,15,5,1122,0
200,15,5,1123,0.001011
200,15,5,1124,0
200,15,5,1125,0.000999
200,15,5,1126,0.001
200,15,5,1127,0.001009
200,15,5,1128,0.001002
200,15,5,1129,0
200,15,5,1130,0
200,15,6,1131,0
200,15,6,1132,0
200,15,6,1133,0.001001
200,15,6,1134,0.001004
200,15,6,1135,0.001006
200,15,6,1136,0.001
200,15,6,1137,0.001001
200,15,6,1138,0.001001
200,15,6,1139,0
200,15,6,1140,0.001
200,20,1,1141,0.001005
200,20,1,1142,0
200,20,1,1143,0
200,20,1,1144,0
200,20,1,1145,0
200,20,1,1146,0
200,20,1,1147,0.001006
200,20,1,1148,0.001001
200,20,1,1149,0
200,20,1,1150,0
200,20,2,1151,0.00101
200,20,2,1152,0.001
200,20,2,1153,0
200,20,2,1154,0.001001
200,20,2,1155,0.002016
200,20,2,1156,0
200,20,2,1157,0
200,20,2,1158,0.001017
200,20,2,1159,0.001019
200,20,2,1160,0
200,20,3,1161,0.002004
200,20,3,1162,0.00099
200,20,3,1163,0.001002
200,20,3,1164,0
200,20,3,1165,0.001001
200,20,3,1166,0.001007
200,20,3,1167,0
200,20,3,1168,0.001002
200,20,3,1169,0.001001
200,20,3,1170,0.001003
200,20,4,1171,0
200,20,4,1172,0
200,20,4,1173,0.001008
200,20,4,1174,0.001004
200,20,4,1175,0.001005
200,20,4,1176,0.001
200,20,4,1177,0.001002
200,20,4,1178,0.001009
200,20,4,1179,0
200,20,4,1180,0.000998
200,20,5,1181,0
200,20,5,1182,0
200,20,5,1183,0.000999
200,20,5,1184,0
200,20,5,1185,0.000997
200,20,5,1186,0
200,20,5,1187,0
200,20,5,1188,0.001002
200,20,5,1189,0.001
200,20,5,1190,0.000999
200,20,6,1191,0.000999
200,20,6,1192,0.001001
200,20,6,1193,0
200,20,6,1194,0
200,20,6,1195,0.0011
200,20,6,1196,0.001001
200,20,6,1197,0
200,20,6,1198,0.001
200,20,6,1199,0
200,20,6,1200,0
250,2,1,1201,0.001996
250,2,1,1202,0.001996
250,2,1,1203,0.002
250,2,1,1204,0.001
250,2,1,1205,0.002997
250,2,1,1206,0.001992
250,2,1,1207,0.001993
250,2,1,1208,0.001999
250,2,1,1209,0.002992
250,2,1,1210,0.002003
250,2,2,1211,0.003995
250,2,2,1212,0.001
250,2,2,1213,0.003999
250,2,2,1214,0.001999
250,2,2,1215,0.002
250,2,2,1216,0.001989
250,2,2,1217,0.003006
250,2,2,1218,0.002995
250,2,2,1219,0.003007
250,2,2,1220,0.003
250,2,3,1221,0.001994
250,2,3,1222,0.001995
250,2,3,1223,0.001996
250,2,3,1224,0.001998
250,2,3,1225,0.002995
